,time (year),avca,cap,capis,capus,cbcefca,cdpis,cdpus,cipis,cipus,coca,cpis,cpus,crr,cucpis,cucpus,cucpus1980,ecr,ede,edefca,edelc,etfp,facnc,fracamgdppl,fracamgdppt,incpis,isgdp,lcpis,lcpus,lcpus1980,obsgipis,obsgipus,ogr,oly,oov,oro,owecc,owelc,pede,wsoefca
4848,2055.75,68438.8,687473.0,46029.9,14515.0,1.01376,36500.6,11343.1,48844.9,14898.9,1.07587,523781.0,163692.0,0.0878801,69044.9,21772.5,945.361,0.0303534,0.991172,1.05649,1.00565,2.14671,0.731696,0.65,0.634938,50076.4,0.247177,14.3499,14.431,14.431,0.01,0.02,0.0248988,241430.0,247994.0,247994.0,1.07587,0.962067,1.0113,1.62069
4849,2055.77,68451.0,687672.0,46059.2,14519.0,1.01261,36505.6,11346.7,48840.0,14895.7,1.07589,523930.0,163742.0,0.0879111,69088.9,21778.5,945.371,0.0303654,0.990942,1.05492,1.00549,2.14719,0.73151,0.65,0.634951,50072.5,0.24719,14.352,14.4308,14.4308,0.01,0.02,0.0249346,241532.0,248101.0,248101.0,1.07589,0.962056,1.01098,1.61949
4850,2055.78,68463.2,687870.0,46088.2,14522.9,1.01145,36510.8,11350.2,48834.5,14892.5,1.07591,524079.0,163791.0,0.0879413,69132.3,21784.4,945.382,0.0303773,0.990725,1.05335,1.00534,2.14766,0.731314,0.65,0.634964,50068.0,0.247201,14.3541,14.4307,14.4307,0.01,0.02,0.0249699,241635.0,248208.0,248208.0,1.07591,0.962045,1.01067,1.61828
4851,2055.8,68475.4,688070.0,46116.8,14526.8,1.01029,36515.9,11353.8,48828.4,14889.4,1.07593,524229.0,163841.0,0.0879708,69175.2,21790.2,945.393,0.0303888,0.990521,1.05179,1.00518,2.14814,0.731109,0.65,0.634977,50063.0,0.247209,14.3562,14.4305,14.4305,0.01,0.02,0.0250048,241737.0,248314.0,248314.0,1.07593,0.962034,1.01036,1.61705
4852,2055.81,68487.7,688269.0,46145.1,14530.5,1.00912,36521.2,11357.4,48821.8,14886.2,1.07595,524379.0,163891.0,0.0879995,69217.6,21795.8,945.403,0.0304001,0.99033,1.05024,1.00502,2.14861,0.730895,0.65,0.63499,50057.3,0.247215,14.3582,14.4303,14.4303,0.01,0.02,0.0250392,241840.0,248421.0,248421.0,1.07595,0.962023,1.01005,1.61582
4853,2055.83,68500.0,688469.0,46172.9,14534.3,1.00795,36526.5,11360.9,48814.7,14883.0,1.07598,524529.0,163940.0,0.0880274,69259.4,21801.4,945.414,0.0304112,0.990152,1.0487,1.00487,2.14909,0.730673,0.65,0.635003,50051.1,0.247219,14.3602,14.4302,14.4302,0.01,0.02,0.0250731,241943.0,248527.0,248527.0,1.07598,0.962012,1.00974,1.61457
4854,2055.84,68512.3,688670.0,46200.5,14537.9,1.00676,36531.8,11364.5,48807.0,14879.8,1.076,524680.0,163990.0,0.0880546,69300.7,21806.8,945.425,0.030422,0.989986,1.04717,1.00472,2.14956,0.730442,0.65,0.635017,50044.2,0.24722,14.3623,14.43,14.43,0.01,0.02,0.0251065,242046.0,248633.0,248633.0,1.076,0.962002,1.00943,1.61331
4855,2055.86,68524.7,688870.0,46227.6,14541.4,1.00557,36537.2,11368.0,48798.8,14876.6,1.07602,524831.0,164039.0,0.088081,69341.4,21812.2,945.435,0.0304325,0.989834,1.04565,1.00457,2.15004,0.730202,0.65,0.63503,50036.9,0.247219,14.3643,14.4299,14.4299,0.01,0.02,0.0251395,242149.0,248739.0,248739.0,1.07602,0.961991,1.00913,1.61204
4856,2055.88,68537.2,689071.0,46254.4,14544.9,1.00438,36542.7,11371.6,48790.2,14873.4,1.07604,524982.0,164089.0,0.0881066,69381.6,21817.4,945.446,0.0304428,0.989696,1.04415,1.00441,2.15051,0.729954,0.65,0.635042,50029.0,0.247216,14.3663,14.4297,14.4297,0.01,0.02,0.0251719,242252.0,248845.0,248845.0,1.07604,0.96198,1.00883,1.61077
4857,2055.89,68549.7,689272.0,46280.8,14548.4,1.00318,36548.2,11375.2,48781.0,14870.3,1.07606,525134.0,164138.0,0.0881314,69421.2,21822.5,945.457,0.0304528,0.98957,1.04265,1.00427,2.15099,0.729698,0.65,0.635055,50020.6,0.24721,14.3683,14.4295,14.4295,0.01,0.02,0.0252039,242355.0,248951.0,248951.0,1.07606,0.961969,1.00853,1.60949
4858,2055.91,68562.3,689474.0,46306.8,14551.7,1.00197,36553.8,11378.7,48771.4,14867.2,1.07608,525286.0,164188.0,0.0881555,69460.3,21827.6,945.467,0.0304625,0.989458,1.04117,1.00412,2.15147,0.729434,0.65,0.635068,50011.7,0.247201,14.3702,14.4294,14.4294,0.01,0.02,0.0252353,242458.0,249057.0,249057.0,1.07608,0.961958,1.00823,1.6082
4859,2055.92,68575.0,689676.0,46332.5,14555.0,1.00076,36559.5,11382.3,48761.3,14864.0,1.07611,525438.0,164238.0,0.0881788,69498.8,21832.5,945.478,0.030472,0.989359,1.0397,1.00397,2.15194,0.729162,0.65,0.63508,50002.2,0.247191,14.3722,14.4292,14.4292,0.01,0.02,0.0252663,242561.0,249162.0,249162.0,1.07611,0.961947,1.00794,1.6069
4860,2055.94,68587.7,689878.0,46357.8,14558.2,0.999542,36565.2,11385.9,48750.8,14861.0,1.07613,525591.0,164287.0,0.0882013,69536.7,21837.3,945.489,0.0304812,0.989273,1.03825,1.00383,2.15242,0.728881,0.65,0.635092,49992.3,0.247177,14.3741,14.429,14.429,0.01,0.02,0.0252967,242664.0,249267.0,249267.0,1.07613,0.961937,1.00765,1.6056
4861,2055.95,68600.6,690081.0,46382.7,14561.4,0.99832,36571.1,11389.4,48739.8,14857.9,1.07615,525744.0,164337.0,0.088223,69574.1,21842.1,945.499,0.0304902,0.989201,1.03681,1.00368,2.15289,0.728594,0.65,0.635104,49982.0,0.247161,14.376,14.4289,14.4289,0.01,0.02,0.0253266,242767.0,249372.0,249372.0,1.07615,0.961926,1.00736,1.60429
4862,2055.97,68613.5,690284.0,46407.3,14564.5,0.997093,36577.0,11393.0,48728.5,14854.9,1.07617,525898.0,164386.0,0.088244,69611.0,21846.7,945.51,0.0304989,0.989142,1.0354,1.00354,2.15337,0.728298,0.65,0.635115,49971.1,0.247143,14.3778,14.4287,14.4287,0.01,0.02,0.025356,242871.0,249477.0,249477.0,1.07617,0.961915,1.00708,1.60298
4863,2055.98,68626.6,690487.0,46431.5,14567.5,0.995863,36582.9,11396.6,48716.7,14852.0,1.07619,526051.0,164436.0,0.0882642,69647.2,21851.2,945.52,0.0305073,0.989097,1.03399,1.0034,2.15385,0.727995,0.65,0.635126,49959.8,0.247122,14.3797,14.4286,14.4286,0.01,0.02,0.0253848,242974.0,249582.0,249582.0,1.07619,0.961904,1.0068,1.60167
4864,2056.0,68639.8,690690.0,46455.3,14570.4,0.994628,36589.0,11400.1,48704.6,14849.0,1.07621,526205.0,164485.0,0.0882836,69682.9,21855.7,945.531,0.0305155,0.989065,1.03261,1.00326,2.15432,0.727685,0.65,0.635136,49948.1,0.247098,14.3815,14.4284,14.4284,0.01,0.02,0.0254131,243077.0,249686.0,249686.0,1.07621,0.961893,1.00652,1.60036
4865,2056.02,68653.0,690894.0,46478.7,14573.4,0.993389,36595.2,11403.7,48692.0,14846.2,1.07623,526359.0,164535.0,0.0883023,69718.1,21860.0,945.542,0.0305235,0.989046,1.03125,1.00312,2.1548,0.727368,0.65,0.635146,49936.0,0.247072,14.3833,14.4282,14.4282,0.01,0.02,0.0254409,243180.0,249790.0,249790.0,1.07623,0.961883,1.00625,1.59904
4866,2056.03,68666.4,691098.0,46501.8,14576.2,0.992147,36601.4,11407.2,48679.1,14843.3,1.07626,526514.0,164584.0,0.0883202,69752.7,21864.3,945.552,0.0305312,0.989041,1.0299,1.00299,2.15528,0.727044,0.65,0.635155,49923.5,0.247043,14.3851,14.4281,14.4281,0.01,0.02,0.025468,243284.0,249894.0,249894.0,1.07626,0.961872,1.00598,1.59772
4867,2056.05,68679.9,691302.0,46524.4,14579.0,0.990901,36607.7,11410.8,48665.9,14840.6,1.07628,526668.0,164634.0,0.0883373,69786.7,21868.5,945.563,0.0305386,0.989048,1.02858,1.00286,2.15575,0.726713,0.65,0.635164,49910.6,0.247011,14.3868,14.4279,14.4279,0.01,0.02,0.0254947,243387.0,249998.0,249998.0,1.07628,0.961861,1.00572,1.59641
4868,2056.06,68693.6,691507.0,46546.8,14581.7,0.989652,36614.2,11414.4,48652.3,14837.9,1.0763,526823.0,164684.0,0.0883536,69820.1,21872.6,945.573,0.0305457,0.98907,1.02728,1.00273,2.15623,0.726375,0.65,0.635172,49897.3,0.246977,14.3885,14.4278,14.4278,0.01,0.02,0.0255207,243490.0,250101.0,250101.0,1.0763,0.96185,1.00546,1.59509
4869,2056.08,68707.4,691711.0,46568.7,14584.4,0.9884,36620.7,11417.9,48638.4,14835.2,1.07632,526978.0,164733.0,0.0883693,69853.0,21876.6,945.584,0.0305527,0.989104,1.026,1.0026,2.15671,0.726031,0.65,0.635179,49883.7,0.24694,14.3902,14.4276,14.4276,0.01,0.02,0.0255462,243593.0,250204.0,250204.0,1.07632,0.96184,1.0052,1.59378
4870,2056.09,68721.3,691916.0,46590.2,14587.0,0.987145,36627.3,11421.5,48624.3,14832.7,1.07634,527134.0,164782.0,0.0883841,69885.4,21880.5,945.594,0.0305593,0.989151,1.02474,1.00247,2.15719,0.72568,0.65,0.635186,49869.7,0.2469,14.3918,14.4274,14.4274,0.01,0.02,0.0255711,243697.0,250307.0,250307.0,1.07634,0.961829,1.00495,1.59247
4871,2056.11,68735.4,692122.0,46611.4,14589.5,0.985888,36634.0,11425.0,48609.8,14830.2,1.07636,527290.0,164832.0,0.0883982,69917.2,21884.3,945.605,0.0305657,0.989212,1.02351,1.00235,2.15766,0.725323,0.65,0.635192,49855.4,0.246857,14.3934,14.4273,14.4273,0.01,0.02,0.0255954,243800.0,250410.0,250410.0,1.07636,0.961818,1.0047,1.59116
