,time (year),awbdi,awbgw,awbi,awbin,awbp,awbps,iest,ipp,ird,ist,orp,pawbi,psestr,pssgdp,rd,ste,steerd,soc_trust,strerd,wbep
42,1980.66,0.942775,1.0,0.710674,0.860504,0.882842,0.928185,0.972923,29.9897,29.6202,0.693594,0.000477597,0.653085,0.712897,0.213869,29.9897,1.29284,0.994489,0.604313,0.992812,0.999973
43,1980.67,0.94279,1.0,0.711253,0.860328,0.88293,0.929891,0.972678,29.9891,29.6082,0.694409,0.0004924,0.653185,0.713914,0.214174,29.9891,1.29261,0.994318,0.604452,0.99258,0.999972
44,1980.69,0.942797,1.0,0.71182,0.860156,0.883018,0.931566,0.972439,29.9885,29.5961,0.695203,0.000507294,0.653286,0.714907,0.214472,29.9885,1.29239,0.994147,0.604593,0.992346,0.999971
45,1980.7,0.942795,1.0,0.712376,0.859986,0.883107,0.93321,0.972203,29.9879,29.5839,0.695977,0.000522276,0.653388,0.715876,0.214763,29.9879,1.29217,0.993974,0.604734,0.99211,0.99997
46,1980.72,0.942786,1.0,0.712919,0.859819,0.883197,0.934825,0.971971,29.9873,29.5717,0.69673,0.000537342,0.65349,0.716822,0.215047,29.9873,1.29194,0.9938,0.604877,0.991872,0.999969
47,1980.73,0.942769,1.0,0.713451,0.859655,0.883287,0.93641,0.971744,29.9866,29.5593,0.697464,0.000552489,0.653593,0.717744,0.215323,29.9866,1.29171,0.993625,0.60502,0.991633,0.999968
48,1980.75,0.942745,1.0,0.713972,0.859494,0.883377,0.937966,0.97152,29.986,29.5469,0.698178,0.000567714,0.653697,0.718645,0.215593,29.986,1.29148,0.99345,0.605165,0.991392,0.999967
49,1980.77,0.942713,1.0,0.714482,0.859336,0.883468,0.939494,0.9713,29.9853,29.5345,0.698873,0.000583014,0.653802,0.719523,0.215857,29.9853,1.29125,0.993273,0.60531,0.99115,0.999966
50,1980.78,0.942673,1.0,0.714981,0.859181,0.883559,0.940993,0.971085,29.9846,29.5219,0.69955,0.000598384,0.653907,0.72038,0.216114,29.9846,1.29102,0.993096,0.605456,0.990906,0.999965
51,1980.8,0.942626,1.0,0.715469,0.859029,0.883651,0.942465,0.970873,29.9838,29.5093,0.700209,0.000613823,0.654013,0.721216,0.216365,29.9838,1.29079,0.992917,0.605603,0.990661,0.999964
52,1980.81,0.942572,1.0,0.715947,0.858879,0.883743,0.94391,0.970666,29.9831,29.4967,0.70085,0.000629327,0.65412,0.722031,0.216609,29.9831,1.29056,0.992739,0.605751,0.990415,0.999962
53,1980.83,0.942511,1.0,0.716414,0.858732,0.883835,0.945328,0.970462,29.9823,29.484,0.701475,0.000644892,0.654227,0.722826,0.216848,29.9823,1.29033,0.992559,0.6059,0.990167,0.999961
54,1980.84,0.942443,1.0,0.716872,0.858588,0.883928,0.946721,0.970262,29.9816,29.4712,0.702082,0.000660517,0.654335,0.723601,0.21708,29.9816,1.29009,0.992379,0.606049,0.989918,0.99996
55,1980.86,0.942368,1.0,0.717319,0.858447,0.884021,0.948087,0.970065,29.9808,29.4584,0.702674,0.000676198,0.654444,0.724357,0.217307,29.9808,1.28986,0.992198,0.606199,0.989668,0.999959
56,1980.88,0.942286,1.0,0.717757,0.858309,0.884114,0.949429,0.969873,29.9799,29.4455,0.703249,0.000691932,0.654553,0.725094,0.217528,29.9799,1.28962,0.992016,0.60635,0.989417,0.999958
57,1980.89,0.942198,1.0,0.718186,0.858173,0.884208,0.950746,0.969684,29.9791,29.4326,0.703809,0.000707718,0.654663,0.725813,0.217744,29.9791,1.28938,0.991834,0.606501,0.989165,0.999957
58,1980.91,0.942103,1.0,0.718605,0.85804,0.884302,0.952039,0.9695,29.9783,29.4197,0.704355,0.000723551,0.654773,0.726514,0.217954,29.9783,1.28915,0.991651,0.606653,0.988911,0.999956
59,1980.92,0.942002,1.0,0.719016,0.857909,0.884396,0.953308,0.969318,29.9774,29.4067,0.704885,0.00073943,0.654884,0.727197,0.218159,29.9774,1.28891,0.991468,0.606806,0.988657,0.999954
60,1980.94,0.941894,1.0,0.719417,0.857781,0.884491,0.954553,0.969141,29.9765,29.3936,0.705401,0.000755352,0.654995,0.727862,0.218359,29.9765,1.28867,0.991284,0.606959,0.988401,0.999953
61,1980.95,0.94178,1.0,0.71981,0.857656,0.884586,0.955776,0.968967,29.9756,29.3805,0.705904,0.000771314,0.655107,0.728511,0.218553,29.9756,1.28843,0.9911,0.607113,0.988145,0.999952
62,1980.97,0.941661,1.0,0.720194,0.857534,0.884681,0.956976,0.968797,29.9747,29.3674,0.706393,0.000787315,0.655219,0.729144,0.218743,29.9747,1.28819,0.990916,0.607267,0.987888,0.999951
63,1980.98,0.941535,1.0,0.72057,0.857414,0.884776,0.958154,0.968631,29.9737,29.3542,0.706868,0.000803351,0.655332,0.72976,0.218928,29.9737,1.28795,0.990731,0.607422,0.98763,0.99995
64,1981.0,0.941404,1.0,0.720939,0.857297,0.884871,0.959311,0.968468,29.9727,29.3411,0.707331,0.000819421,0.655446,0.730361,0.219108,29.9727,1.28771,0.990545,0.607578,0.987371,0.999949
65,1981.02,0.941267,1.0,0.721299,0.857182,0.884967,0.960447,0.968309,29.9717,29.3278,0.707782,0.000835522,0.655559,0.730947,0.219284,29.9717,1.28747,0.990359,0.607734,0.987111,0.999948
66,1981.03,0.941125,1.0,0.721651,0.85707,0.885063,0.961561,0.968153,29.9707,29.3146,0.708221,0.000851653,0.655673,0.731517,0.219455,29.9707,1.28723,0.990173,0.60789,0.98685,0.999946
67,1981.05,0.940977,1.0,0.721997,0.856961,0.885159,0.962656,0.968001,29.9697,29.3013,0.708648,0.000867811,0.655788,0.732073,0.219622,29.9697,1.28698,0.989987,0.608047,0.986589,0.999945
68,1981.06,0.940824,1.0,0.722335,0.856854,0.885255,0.96373,0.967853,29.9687,29.288,0.709063,0.000883994,0.655903,0.732615,0.219784,29.9687,1.28674,0.9898,0.608204,0.986327,0.999944
69,1981.08,0.940666,1.0,0.722665,0.85675,0.885351,0.964785,0.967708,29.9676,29.2747,0.709468,0.0009002,0.656018,0.733143,0.219943,29.9676,1.2865,0.989613,0.608361,0.986064,0.999943
70,1981.09,0.940503,1.0,0.722989,0.856648,0.885447,0.965821,0.967567,29.9665,29.2613,0.709862,0.000916427,0.656134,0.733657,0.220097,29.9665,1.28625,0.989426,0.608519,0.985801,0.999942
71,1981.11,0.940336,1.0,0.723307,0.856549,0.885544,0.966838,0.96743,29.9654,29.2479,0.710246,0.000932674,0.65625,0.734158,0.220247,29.9654,1.28601,0.989238,0.608678,0.985537,0.999941
72,1981.12,0.940163,1.0,0.723618,0.856453,0.88564,0.967836,0.967296,29.9643,29.2345,0.71062,0.000948938,0.656366,0.734646,0.220394,29.9643,1.28577,0.989051,0.608836,0.985273,0.99994
73,1981.14,0.939986,1.0,0.723922,0.856359,0.885737,0.968817,0.967165,29.9632,29.2211,0.710985,0.000965218,0.656483,0.735122,0.220537,29.9632,1.28552,0.988863,0.608995,0.985008,0.999939
74,1981.16,0.939805,1.0,0.724221,0.856268,0.885834,0.96978,0.967039,29.962,29.2077,0.711339,0.000981513,0.6566,0.735585,0.220676,29.962,1.28528,0.988675,0.609155,0.984742,0.999938
75,1981.17,0.93962,1.0,0.724513,0.856179,0.885931,0.970726,0.966915,29.9608,29.1942,0.711685,0.00099782,0.656718,0.736037,0.220811,29.9608,1.28503,0.988487,0.609315,0.984476,0.999937
76,1981.19,0.93943,1.0,0.7248,0.856093,0.886028,0.971655,0.966796,29.9596,29.1808,0.712023,0.00101414,0.656835,0.736477,0.220943,29.9596,1.28479,0.988298,0.609474,0.984209,0.999936
77,1981.2,0.939237,1.0,0.725082,0.856009,0.886125,0.972568,0.96668,29.9584,29.1673,0.712351,0.00103047,0.656953,0.736905,0.221072,29.9584,1.28454,0.98811,0.609635,0.983942,0.999935
78,1981.22,0.93904,1.0,0.725358,0.855928,0.886222,0.973465,0.966567,29.9572,29.1538,0.712672,0.0010468,0.657072,0.737323,0.221197,29.9572,1.2843,0.987922,0.609795,0.983675,0.999934
79,1981.23,0.938839,1.0,0.725629,0.85585,0.886319,0.974346,0.966459,29.9559,29.1403,0.712985,0.00106314,0.65719,0.73773,0.221319,29.9559,1.28405,0.987733,0.609956,0.983407,0.999933
80,1981.25,0.938635,1.0,0.725895,0.855774,0.886416,0.975211,0.966353,29.9546,29.1268,0.71329,0.00107949,0.657309,0.738126,0.221438,29.9546,1.28381,0.987544,0.610117,0.983139,0.999932
81,1981.27,0.938427,1.0,0.726157,0.855701,0.886514,0.976062,0.966252,29.9534,29.1133,0.713588,0.00109585,0.657428,0.738512,0.221554,29.9534,1.28356,0.987356,0.610278,0.98287,0.999931
82,1981.28,0.938216,1.0,0.726414,0.855631,0.886611,0.976898,0.966154,29.952,29.0997,0.71388,0.0011122,0.657547,0.738888,0.221666,29.952,1.28332,0.987167,0.61044,0.982601,0.99993
83,1981.3,0.938003,1.0,0.726666,0.855563,0.886708,0.977719,0.966059,29.9507,29.0862,0.714164,0.00112856,0.657667,0.739255,0.221776,29.9507,1.28307,0.986978,0.610601,0.982331,0.999929
84,1981.31,0.937786,1.0,0.726915,0.855497,0.886805,0.978527,0.965969,29.9494,29.0726,0.714442,0.00114491,0.657787,0.739612,0.221884,29.9494,1.28283,0.986789,0.610763,0.982062,0.999928
85,1981.33,0.937567,1.0,0.72716,0.855435,0.886903,0.979322,0.965882,29.948,29.0591,0.714714,0.00116127,0.657907,0.73996,0.221988,29.948,1.28258,0.986601,0.610925,0.981792,0.999927
86,1981.34,0.937345,1.0,0.7274,0.855375,0.887,0.980103,0.965798,29.9466,29.0455,0.714979,0.00117763,0.658027,0.740299,0.22209,29.9466,1.28234,0.986412,0.611087,0.981521,0.999926
87,1981.36,0.937121,1.0,0.727638,0.855317,0.887097,0.980871,0.965719,29.9452,29.032,0.715239,0.00119398,0.658147,0.740629,0.222189,29.9452,1.28209,0.986223,0.611249,0.981251,0.999925
88,1981.38,0.936894,1.0,0.727872,0.855263,0.887195,0.981626,0.965642,29.9438,29.0184,0.715494,0.00121033,0.658268,0.740951,0.222285,29.9438,1.28185,0.986035,0.611412,0.98098,0.999924
89,1981.39,0.936665,1.0,0.728102,0.85521,0.887292,0.98237,0.96557,29.9423,29.0048,0.715743,0.00122667,0.658389,0.741265,0.222379,29.9423,1.2816,0.985846,0.611575,0.980709,0.999923
90,1981.41,0.936435,1.0,0.72833,0.855161,0.887389,0.983101,0.965501,29.9409,28.9913,0.715987,0.00124301,0.65851,0.741571,0.222471,29.9409,1.28135,0.985658,0.611737,0.980438,0.999922
91,1981.42,0.936203,1.0,0.728555,0.855114,0.887486,0.983821,0.965437,29.9394,28.9777,0.716227,0.00125935,0.658631,0.741868,0.222561,29.9394,1.28111,0.985469,0.6119,0.980166,0.999922
92,1981.44,0.935969,1.0,0.728778,0.85507,0.887584,0.98453,0.965375,29.9379,28.9641,0.716462,0.00127568,0.658753,0.742159,0.222648,29.9379,1.28086,0.985281,0.612063,0.979895,0.999921
93,1981.45,0.935733,1.0,0.728998,0.855029,0.887681,0.985228,0.965318,29.9363,28.9506,0.716693,0.001292,0.658874,0.742442,0.222733,29.9363,1.28062,0.985092,0.612226,0.979623,0.99992
94,1981.47,0.935497,1.0,0.729216,0.85499,0.887778,0.985915,0.965264,29.9348,28.937,0.716919,0.00130831,0.658996,0.742718,0.222815,29.9348,1.28038,0.984904,0.61239,0.979351,0.999919
95,1981.48,0.935259,1.0,0.729432,0.854954,0.887875,0.986592,0.965214,29.9332,28.9234,0.717141,0.00132461,0.659118,0.742987,0.222896,29.9332,1.28013,0.984716,0.612553,0.979078,0.999919
96,1981.5,0.93502,1.0,0.729646,0.854921,0.887972,0.987259,0.965168,29.9317,28.9099,0.71736,0.00134091,0.65924,0.743249,0.222975,29.9317,1.27989,0.984528,0.612716,0.978806,0.999918
97,1981.52,0.93478,1.0,0.729858,0.854891,0.88807,0.987917,0.965126,29.9301,28.8963,0.717575,0.00135719,0.659362,0.743504,0.223051,29.9301,1.27964,0.98434,0.61288,0.978534,0.999917
98,1981.53,0.93454,1.0,0.730069,0.854863,0.888167,0.988565,0.965088,29.9285,28.8827,0.717787,0.00137347,0.659484,0.743753,0.223126,29.9285,1.2794,0.984152,0.613043,0.978261,0.999916
99,1981.55,0.934299,1.0,0.730279,0.854838,0.888264,0.989204,0.965053,29.9268,28.8692,0.717996,0.00138974,0.659607,0.743996,0.223199,29.9268,1.27915,0.983965,0.613207,0.977988,0.999916
100,1981.56,0.934058,1.0,0.730488,0.854816,0.888361,0.989835,0.965023,29.9252,28.8556,0.718202,0.00140599,0.65973,0.744233,0.22327,29.9252,1.27891,0.983777,0.613371,0.977715,0.999915
